mainKey,name,metaScore,releaseDate,maturityRating,publisher,genre,userScore,platform,imgUrl
761dceca68ac6ddbb8adb1e869a93d5d,Salt and Sanctuary,84,15-Mar-16,M,Ska Studios,"Genre(s): Action, Platformer, 2D",8.2,PS4,http://static.metacritic.com/images/products/games/3/a1ac161a1b5c07cfcd3cac8aa3622231-53.jpg
761e664a42783de4759f30cb37855aa4,Konductra,60,31-Oct-06,E,O3 Entertainment,"Genre(s): Miscellaneous, Puzzle, General, Matching, Puzzle, Puzzle, Matching",-1,DS,http://static.metacritic.com/images/products/games/5/25d58881a39b0192160f83e1007c9652-53.jpg
761fea7e62bf8d10928703fe22b41ad5,Defender,66,3-Nov-02,T,Midway,"Genre(s): Action, Shooter, Third-Person, Sci-Fi",-1,GC,http://static.metacritic.com/images/products/games/4/f0df5da29a2670b8d6e01460dd56ae1b-53.jpg
7620c8bae70394883bff990a6d07f8cc,This Is the Police,71,22-Mar-17,M,THQ Nordic,,-1,XONE,http://static.metacritic.com/images/products/games/6/4e66ee19f46e108286c170a7c492d9a7-53.jpg
762135596cfe19175df3908e35aa9909,Disney's Hide and Sneak,48,30-Nov-03,E,Capcom,"Genre(s): Action, General",-1,GC,http://static.metacritic.com/images/products/games/4/2d24e1428544e760fca82d8ad865fe42-53.jpg
76240b1009b771a3c77f25af2b4d2e78,BYE-BYE BOXBOY!,83,12-Apr-17,E,Nintendo,,8,3DS,http://static.metacritic.com/images/products/games/1/73b550a95101a67ce63aaae80c45caaf-53.jpg
762c09888302e8fe6c3d7ff48cfeb87f,Dead Man's Hand,62,3-Mar-04,T,Atari,"Genre(s): Action, Shooter, First-Person, Historic",8.1,XBOX,http://static.metacritic.com/images/products/games/7/734be722caa9d310e8e2a0b5dc859008-53.jpg
762d2d72d5db726a98637840697dd126,Braid,93,6-Aug-08,E10+,Number None Inc.,"Genre(s): Action, Platformer, 2D, Platformer, 2D",8.5,X360,http://static.metacritic.com/images/products/games/6/ed83d7e849d4bc74845a1f41890f998e-53.jpg
76300d98298f64f370e07cdd7ff1847d,Owlboy,88,1-Nov-16,E10+,D-Pad Studio,"Genre(s): Action Adventure, Fantasy, General",7.7,PC,http://static.metacritic.com/images/products/games/7/1800e4943e56f67eb47125443c75b3fd-53.jpg
7631115c265a0a975fe5d2e30f0a2a07,Age of Empires II: The Age of Kings,92,30-Sep-99,T,Microsoft Game Studios,"Genre(s): Strategy, Real-Time, Historic, Historic, Command",9,PC,http://static.metacritic.com/images/products/games/9/53abcfcadb6f434b568c2796266719c1-53.jpg
7632b2039724ea703d8bd278b6e42849,Rayman 3D,61,22-Mar-11,E,Ubisoft,"Genre(s): Action, Platformer, 3D, Platformer, 3D",6.5,3DS,http://static.metacritic.com/images/products/games/2/48ccdddb29d77b71713f3099d119d05e-53.jpg
7639291f37c196c675500060c1b70a67,Nostradamus: The Last Prophecy,70,30-Sep-07,E10+,"Encore Software, Inc., MC2 Entertainment",,5.9,PC,http://static.metacritic.com/images/products/games/8/c6155be6d07f37d82f66910d7e967124-53.jpg
7640e8858273045c4046e2fa344c6d1e,.hack//G.U. Last Recode,69,3-Nov-17,T,Bandai Namco Games,"Genre(s): Miscellaneous, Compilation",6.5,PC,http://static.metacritic.com/images/products/games/7/3c39ccdfde2f2c1681d2ed15edf2c586-53.jpg
7642869bad74056d21f1fd5ad8d33372,London 2012 - The Official Video Game of the Olympic Games,64,26-Jun-12,E,Sega,"Genre(s): Sports, Olympic Sports, Olympic Sports, Individual, Athletics",6.4,X360,http://static.metacritic.com/images/products/games/6/c7b14887481444a2a36aba28b9d78e11-53.jpg
76439a6fdcaa77b317b180ad341b8882,Harry Potter and the Order of the Phoenix,51,25-Jun-07,E,EA Games,"Genre(s): Action Adventure, Fantasy, General, Fantasy",5,DS,http://static.metacritic.com/images/products/games/1/719c5e6acd8a081f09a267e9233dbdd0-53.jpg
7647cafdbf909ec333768ca936da6794,Capcom Arcade Cabinet,69,19-Feb-13,T,Capcom,"Genre(s): Miscellaneous, Compilation, Compilation",5.4,PS3,http://static.metacritic.com/images/products/games/7/4beb17bb8c467f6b1121f4a111c05713-53.jpg
764a8eeb2fb2cac577b54235eb0af631,Resident Evil: The Darkside Chronicles,75,17-Nov-09,M,Capcom,"Genre(s): Action, Shooter, Rail, Shooter, Light Gun, Rail",7.9,WII,http://static.metacritic.com/images/products/games/4/ed3a6bfb60433e1e9d6b0ad77c18c695-53.jpg
764ae97fc0c00bec239386030b635c0c,Rag Doll Kung Fu,69,12-Oct-05,T,"Merscom LLC, Mark Healey","Genre(s): Action, Fighting, 2D, 2D, Fighting",5,PC,http://static.metacritic.com/images/products/games/3/176f35e31c6e16867908f213bc1800c4-53.jpg
764b9d5261a09e6662f84ff40880e4c6,Sonic Mania,86,15-Aug-17,E,"SegaSoft, Sega","Genre(s): Action, Platformer, 2D",8.6,PS4,http://static.metacritic.com/images/products/games/2/1d05653031bc510fd043b038083efa0c-53.jpg
765300a0d981e49f68158afb0d6d38c9,Style Savvy: Styling Star,80,25-Dec-17,E,Nintendo,,6.2,3DS,http://static.metacritic.com/images/products/games/7/7e4a59f7bc66aa58a762a514d5bd7454-53.jpg
765fd1fb1abff28fc4215410c537a9b8,Kromaia Omega,68,16-Oct-15,E10+,Rising Star Games,"Genre(s): Action, Shooter, Rail",6.3,PS4,http://static.metacritic.com/images/products/games/8/ebef8757e0cd0ba2f88d5ab612640cfd-53.jpg
7662588f1361fb853b43ad10a32b00db,Implosion - Never Lose Hope,74,6-Jul-17,T,Flyhigh Works,"Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down",7.9,Switch,http://static.metacritic.com/images/products/games/1/387431a7a18a04b57ad65d816b36da8b-53.jpg
7669b490e3976146dfbb41ecbad08a1a,The Sims Bustin' Out,81,15-Dec-03,T,EA Games,"Genre(s): Miscellaneous, Virtual Life",8.4,PS2,http://static.metacritic.com/images/products/games/2/eacfd738b983c9d5a86ee9726934963f-53.jpg
766a53e1249a50dd3550290fe93a27d3,Sol Survivor,75,15-Mar-10,,Cadenza,,8.2,PC,http://static.metacritic.com/images/products/games/3/00438288acdda33476b351b39b7648b4-53.jpg
766c0a43664d7d056056a4a8e482991c,Fallout 4: Nuka-World,74,30-Aug-16,,Bethesda Softworks,,5.4,PC,http://static.metacritic.com/images/products/games/5/88cf1aaacb28aab84d9e59f7906ffac5-53.jpg
7670bef2bb024f2b48bcd70a26f73f29,Teslagrad,77,13-Dec-13,E,"Rain Games, Soedesco","Genre(s): Action, Platformer, 2D, Platformer, 2D",7.9,PC,http://static.metacritic.com/images/products/games/6/b0735a8a11c8dc08df8835b8ea67f946-53.jpg
767a21d7ce2a685d60ddd2522462f0c5,Echelon,70,16-May-01,E,Bethesda Softworks,"Genre(s): Simulation, Flight, Sci-Fi, Small Spaceship, Futuristic Jet, Combat",6.8,PC,http://static.metacritic.com/images/products/games/9/0488e95b0699f4d03c47b89f02d929d0-53.jpg
767a9fc58a585e1b2fcb5d71daee7b64,Life is Strange: Before the Storm - Episode 3: Hell is Empty,81,20-Dec-17,M,Square Enix,,8.1,XONE,http://static.metacritic.com/images/products/games/6/3fdc781251c99236233376d96aa16b04-53.jpg
767ee5ac367421010f596f35ac01ccd1,Predator: Concrete Jungle,47,26-Apr-05,M,VU Games,"Genre(s): Action Adventure, Sci-Fi",8.8,PS2,http://static.metacritic.com/images/products/games/7/abd0aa2f72f960b1912e10426e151db0-53.jpg
